customer_id,customer_name,age,age_group,gender,city,state,customer_type,registration_date,email,phone,is_active,total_lifetime_value
1,Zaid Kari,52,46-60,Female,Patna,Bihar,Regular,2024-08-31,sgrover@example.com,+91-7065174997,True,99719.72
2,Chameli Balan,40,36-45,Male,Mumbai,Maharashtra,New,2025-08-01,kondasamesh@example.com,+91-9345114726,True,518010.71
3,Darika Dube,68,60+,Male,Bangalore,Karnataka,Regular,2025-07-12,vdey@example.com,+91-8452428437,True,37765.45
4,Yashvi Deshmukh,69,60+,Female,Bangalore,Karnataka,VIP,2025-03-27,christopher38@example.org,+91-9170524164,True,39018.39
5,Ria Samra,32,26-35,Female,Kolkata,West Bengal,VIP,2024-11-23,charvimody@example.org,+91-9248478273,True,416611.0
6,Raksha Kar,43,36-45,Male,Bangalore,Karnataka,Regular,2025-08-09,dganguly@example.org,+91-7174831643,True,398944.49
7,Lakshit Choudhary,25,18-25,Female,Delhi,Delhi,New,2025-09-21,lajitakibe@example.com,+91-9401896266,True,310429.24
8,Priya Narayanan,33,26-35,Female,Delhi,Delhi,New,2024-05-09,yahvichahal@example.net,+91-8058980086,True,172450.79
9,Sneha Mand,19,18-25,Female,Hyderabad,Telangana,Regular,2024-08-31,csoni@example.org,+91-7495737046,True,702775.57
10,Vanya Biswas,34,26-35,Male,Pune,Maharashtra,Churned,2025-08-29,anya29@example.org,+91-7400194362,False,0.0
11,Fiyaz Sidhu,68,60+,Female,Bangalore,Karnataka,New,2024-10-27,luthragayathri@example.org,+91-7796797027,True,22113.91
12,Advay Ramachandran,39,36-45,Female,Kolkata,West Bengal,Regular,2025-06-01,tejasbarad@example.net,+91-7087597401,True,47259.16
13,Faras Oza,56,46-60,Female,Bangalore,Karnataka,Churned,2024-08-11,hkrish@example.com,+91-9654058284,False,0.0
14,Gautami Garg,19,18-25,Male,Chennai,Tamil Nadu,Regular,2024-04-19,contractoraishani@example.com,+91-8384279467,True,254149.18
15,Ishita Sarma,35,26-35,Male,Bangalore,Karnataka,VIP,2025-05-08,nagargaurangi@example.net,+91-9056185053,True,219577.52
16,Hitesh Tata,56,46-60,Male,Pune,Maharashtra,VIP,2024-03-13,kandachaitaly@example.org,+91-8453248168,True,26022.03
17,Chatresh Loyal,70,60+,Male,Bangalore,Karnataka,VIP,2025-04-05,chaayapatla@example.org,+91-8380152820,True,36222.75
18,Aishani Khosla,50,46-60,Male,Bangalore,Karnataka,New,2025-10-01,lgade@example.org,+91-9882901616,True,31891.74
19,Sudiksha Dalal,62,60+,Female,Chennai,Tamil Nadu,Regular,2024-07-22,goswamicaleb@example.org,+91-7444204567,True,5436.0
20,Nitara Basak,42,36-45,Male,Bangalore,Karnataka,Churned,2025-03-26,qmurthy@example.org,+91-9912997636,False,0.0
21,Kamala Mahajan,50,46-60,Male,Bangalore,Karnataka,Regular,2025-01-19,abhakta@example.net,+91-7653601179,True,3079.45
22,Niharika D’Alia,71,60+,Female,Chennai,Tamil Nadu,New,2025-10-13,soniharshil@example.com,+91-9686298729,True,52211.57
23,Sachi Datta,57,46-60,Male,Bangalore,Karnataka,New,2024-05-24,akohli@example.com,+91-8850650257,True,51537.4
24,Ekantika Kata,36,36-45,Female,Pune,Maharashtra,Regular,2025-04-05,knayar@example.net,Phone Not Available,True,110902.65
25,Onkar Padmanabhan,38,36-45,Male,Mumbai,Maharashtra,VIP,2025-04-06,balanisha@example.com,+91-7805159491,True,47755.93
26,Zarna Patil,25,18-25,Male,Hyderabad,Telangana,New,2024-05-26,kulkarniekaja@example.org,+91-9814449125,True,964762.14
27,Dayamai Sheth,60,46-60,Male,Mumbai,Maharashtra,Regular,2025-02-02,zdhingra@example.com,+91-8754410738,True,80445.19
28,Gaurangi Mannan,75,60+,Female,Mumbai,Maharashtra,Regular,2024-06-18,xalaksem@example.net,+91-8889510598,True,27932.67
29,Yochana Johal,64,60+,Female,Chennai,Tamil Nadu,New,2025-01-30,aggarwalbalendra@example.org,+91-8537235044,True,8332.45
30,Harini Suri,24,18-25,Male,Kolkata,West Bengal,Churned,2025-04-24,niharikakala@example.org,Phone Not Available,False,0.0
31,Upkaar Basak,29,26-35,Male,Bangalore,Karnataka,Churned,2025-08-06,nkarpe@example.org,+91-9196489377,False,0.0
32,Yash Das,60,46-60,Male,Delhi,Delhi,VIP,2024-02-12,rdave@example.org,+91-9917600856,True,26812.89
